ntd_id_x,ntd_id_y,agency_name_ntd,name_airtable,doing_business_as,reporter_acronym,organization_type_x,organization_type_y,roles,organization_type_z,reporter_type,city,itp_id,opm_id_drmt,mobility_services_operated,mpo_rtpa,_merge,,,Left only =  NTD,Right Only = Airtable
,,,Glenn County Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Global Paratransit Inc,,,,Company,,,,,,,Long Beach Dial-A-Lift,,right_only,,,,
,,,GMV SA,,,,Company,,,,,,,,,right_only,,,,
,,,GMV Syncromatics Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Golden Rays Senior Citizens of Sierra County Inc,,,,Non-Profit Organization,,,,,,,Western Sierra County Senior Transportation copy,,right_only,,,,
,,,Google,,,,Company,,,,,,,,,right_only,,,,
,,,Greyhound,,,,Company,,,,,12,,Greyhound,Southern California Association of Governments,right_only,,,,
,,,HaCon AG,,,,Company,,,,,,,,,right_only,,,,
,,,Hanover Displays Ltd,,,,Company,,,,,,,,,right_only,,,,
,,,Heart of the Valley,,,,Non-Profit Organization,,,,,430,,Heart of the Valley,,right_only,,,,
,,,Hella Aglaia Mobile Vision GMBH,,,,Company,,,,,,,,,right_only,,,,
,,,Help of Ojai Inc,,,,Non-Profit Organization,,,,,,,Help of Ojai,,right_only,,,,
,,,Hi-Desert Memorial Health Care Foundation,,,,Non-Profit Organization,,,,,431,,Lift Transportation Program,,right_only,,,,
,,,Hobnob,,,,Company,,,,,,,,,right_only,,,,
,,,Home of Guiding Hands,,,,Non-Profit Organization,,,,,432,,Home of Guiding Hands Transportation Services,,right_only,,,,
,,,Hopthru,,,,Company,,,,,,,,,right_only,,,,
,,,Humboldt County Association of Governments,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Humboldt Medi-Trans Inc,,,,Non-Profit Organization,,,,,,,Humboldt Medi-Trans,,right_only,,,,
,,,Humboldt Senior Resource Center,,,,Non-Profit Organization,,,,,,,Humboldt Senior Resource Center,,right_only,,,,
,,,Icomera AG,,,,Company,,,,,,,,,right_only,,,,
,,,Imperial County,,,,County,,,,,,,,,right_only,,,,
,,,Incorporated Senior Citizens of Sierra County,,,,Non-Profit Organization,,,,,,,Eastern Sierra County Senior Transportation,,right_only,,,,
,,,Independent Cab Co Inc,,,,Company,,,,,,,Culver City Taxi Coupons,,right_only,,,,
,,,Independent Living Partnership,,,,,,,,,433,,,,right_only,,,,
,,,Independent Taxi,,,,Company,,,,,,,Cityride Taxi,,right_only,,,,
,,,INIT SE,,,,Company,,,,,,,,,right_only,,,,
,,,Inland Regional Center,,,,,,,,,140,,,,right_only,,,,
,,,Institute on Aging,,,,Non-Profit Organization,,,,,,,Institute on Aging,,right_only,,,,
,,,Intelliride,,,,,,,,,,,,,right_only,,,,
,,,Inyo County,,,,County,,,,,,,,,right_only,,,,
,,,Inyo County Local Transportation Commission,,,,,Regional Transportation Planning Agency,,,,387,,,,right_only,,,,
,,,Inyo-Mono Association for the Handicapped,,,,Non-Profit Organization,,,,,434,,Inyo-Mono Association for the Handicapped,,right_only,,,,
,,,IPS Systems,,,,Company,,,,,,,,,right_only,,,,
,,,Iris Inc,,,,Company,,,,,,,,,right_only,,,,
,,,ISC Applied Systems,,,,Company,,,,,,,,,right_only,,,,
,,,Jewish Family Service of San Diego,,,,Non-Profit Organization,,,,,,,,,right_only,,,,
,,,John Wayne Airport,,SNA,,,,,,,143,,,,right_only,,,,
,,,Jovenes de Antaño,,,,Non-Profit Organization,,,,,,,Jovenes de Antaño,,right_only,,,,
,,,Kaiser Permanente,,,,Company,,,,,,,"Redwood City Medical Center Shuttle,East Bay Kaiser Permanente BART Shuttles",Metropolitan Transportation Commission,right_only,,,,
,,,Karmel Shuttle Service,,,,Company,,,,,0,,Karmel Airport Shuttle,,right_only,,,,
,,,Karuk Tribe,,,,,,,,,145,,,,right_only,,,,
,,,Kern Council of Governments,,,,,"Regional Transportation Planning Agency,Metropolitan Planning Organization,Census Affiliate Data Center",,,,,,,,right_only,,,,
,,,Kimochi,,,,Non-Profit Organization,,,,,435,,Kimochi Transportation Services,,right_only,,,,
,,,Kings County Association of Governments,,,,,"Regional Transportation Planning Agency,Metropolitan Planning Organization",,,,,,,,right_only,,,,
,,,Klamath Trinity Non-Emergency Transportation,,KT NET,,,,,,,436,,KT NET,,right_only,,,,
,,,Lake County City Area Planning Council,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Lassen County Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Lassen Senior Services Inc,,,,Non-Profit Organization,,,,,,,Lassen Senior Services Shuttle,,right_only,,,,
,,,Lawrence Berkeley National Laboratory,,,,Non-Profit Organization,,,,,38,,,Metropolitan Transportation Commission,right_only,,,,
,,,LIFE ElderCare,,,,Non-Profit Organization,,,,,437,,Life ElderCare,,right_only,,,,
,,,Limousine Express,,,,Company,,,,,476,,Limousine Express Bus,,right_only,,,,
,,,Lodi Memorial Hospital Association,,,,,,,,,438,,,,right_only,,,,
,,,Los Angeles County,"LA DPW,LA County,Los Angeles DPW,Los Angeles County",LADPW,,County,,,,,179,719031,"the Link Florence-Firestone/Walnut Park,the Link King Medical Center,the Link Lennox,the Link Willowbrook,the Link-Athens,Topanga Beach Bus,Acton and Agua Dulce Shuttle,Avocado Heights/Bassett/West Valinda Shuttle,East Valinda Shuttle,Edmund D. Edelman Children’s Court Shuttle,Heights Hopper Shuttle,the Link-Baldwin Hills Parklands,El Sol Shuttle,Los Angeles County Wellness Center Shuttle,Sunshine Shuttle,Willowbrook Demand Response",Southern California Association of Governments,right_only,,,,
,,,Los Angeles World Airports,,LAX,,Independent Agency,,,,,165,,,,right_only,,,,
,,,LOSSAN Rail Corridor Agency ,,,,,,,,,,,,,right_only,,,,
,,,Loyola Marymount University,,,,University - Private,,,,,,,LMU Shuttle,,right_only,,,,
,,,Luminator Technology Group,,,,Company,,,,,,,,,right_only,,,,
,,,Lutheran Social Services,,,,,,,,,439,,,,right_only,,,,
,,,Lyft Inc,,,,Company,,,,,,,"Beverly Hills Senior and Disabled On-Demand,GoMonrovia Ride Hail,Mobility on Demand Everyday,Ride-On Tri-City! Ride-Hailing Service,West Hollywood On Call Transportation,Go Tri-Valley,Little House Transportation,Road Runners,Solano Mobility First/Last Mile Program,Santa Monica College Intercampus Shuttles,On-the-go Transportation",,right_only,,,,
,,,Mackenzie Laboratories,,,,Company,,,,,,,,,right_only,,,,
,,,Madera County Transportation Commission,,,,,"Metropolitan Planning Organization,Regional Transportation Planning Agency,Local Transportation Commission,Sales Tax Authority",,,,,,,,right_only,,,,
,,,Malmator,,,,Company,,,,,,,,,right_only,,,,
,,,Marin Airporter,,,,Company,,,,,193,,Marin Airporter,Metropolitan Transportation Commission,right_only,,,,
,,,Marina Taxi Co Inc,,,,Company,,,,,,,MST Taxi Vouchers,,right_only,,,,
,,,Mariposa County,,,,County,,,,,195,1022002,"MariGo,Mariposa Medi-Trans",,right_only,,,,
,,,Mariposa County Local Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Marymount College California,,,,University - Private,,,,,,,Marymount Campus Shuttle,,right_only,,,,
,,,Masabi,,,,Company,,,,,,,,,right_only,,,,
,,,Mecatran,,,,,,,,,,,,,right_only,,,,
,,,mecatrancom,,,,,,,,,,,,,right_only,,,,
,,,Medical Transportation Management,,,,,,,,,,,,,right_only,,,,
,,,Megabus,,,,Company,,,,,,,Megabus,,right_only,,,,
,,,Mendocino Council of Governments,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Menlo Park Shuttles,,,,,,,,,199,,,Metropolitan Transportation Commission,right_only,,,,
,,,Merced County Association of Governments,,,,,"Metropolitan Planning Organization,Regional Transportation Planning Agency",,,,,,,,right_only,,,,
,,,Metro Transit Services Inc,,,,Company,,,,,,,Huntington Park Dial-A-Ride,,right_only,,,,
,,,Michigan Technological University Center for Technology and Training,,,,University - Public,,,,,,,,,right_only,,,,
,,,MIG Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Milestones of Development,,,,Non-Profit Organization,,,,,440,,Milestones of Development,,right_only,,,,
,,,Mission Bay Transportation Management Agency,,,,Non-Profit Organization,,,,,201,,Mission Bay Shuttles,Metropolitan Transportation Commission,right_only,,,,
,,,Mobility Management Partners,,,,,,,,,441,,,,right_only,,,,
,,,Mobility Matters,,,,Non-Profit Organization,,,,,442,,"Mobility Matters Rides for Seniors,Mobility Matters Rides 4 Veterans",,right_only,,,,
,,,Modaxo Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Modoc County Local Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Modoc Transportation Authority ,,,,Independent Agency,,,,,204,225002,"Sage Stage Local,Sage Stage Intercity",,right_only,,,,
,,,Mono County,,,,County,,,,,,,Mono County Senior Transportation,,right_only,,,,
,,,Mono County Local Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Monterey County,,,,County,,,,,,,,,right_only,,,,
,,,Monument Impact Inc,,,,,,,,,209,,Monument Community Shuttle,Metropolitan Transportation Commission,right_only,,,,
,,,Moovel,,,,Company,,,,,,,,,right_only,,,,
,,,Mountain Shadows Support Group,,,,Non-Profit Organization,,,,,442,,Mountain Shadows Transportation ,,right_only,,,,
,,,Mountain View Transportation Management Association,,,,Non-Profit Organization,,,,,216,,"Mountain View Community Shuttle,MVGO",Metropolitan Transportation Commission,right_only,,,,
,,,MOVE Stanislaus,,,,,,,,,444,,VetsVan,,right_only,,,,
,,,MV Paratransit,,,,Company,,,,,,,East Bay Paratransit,,right_only,,,,
,,,MV Transportation,,,,Company,,,,,,,"Dumbarton Express,Compton Renaissance Transit Service,DowneyLINK,La Mirada Transit,Santa Rosa Paratransit,Coalinga Transit Dial-A-Ride,Auberry Transit,Firebaugh Transit,Fowler Transit,Huron Transit,Mendota Transit,Orange Cove Transit,Fresno County Rural Transit,Parlier Transit,Sanger Transit,San Joaquin Transit,Selma Transit,Kingsburg-Reedley College Transit,Southeast Transit,Westside Transit,Dinuba Connection,Coalinga Transit Inter-City,Del Ray Transit,Huron Inter-City Transit,Firebaugh-Mendota Transit,Menlo Park Shuttles,NCTD LIFT,Moorpark Dial-A-Ride,Kerman Transit",,right_only,,,,
,,,My Ride To Work,,,,,,,,,,,North Lake Tahoe Express,,right_only,,,,
,,,National Express Transit Corporation (NEXT),,,,,,,,,,,,,right_only,,,,
,,,Network Paratransit System,,,,,,,,,,,,,right_only,,,,
,,,Nevada County Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Newport Beach Friends of Oasis Senior Center,,,,Non-Profit Organization,,,,,223,,OASIS Transportation Service,,right_only,,,,
,,,Nixle,,,,Company,,,,,,,,,right_only,,,,
,,,Norman Y Mineta San Jose International Airport,,SJC,,,,,,,225,,,,right_only,,,,
,,,North and South of Market Adult Day Health,,,,,,,,,445,,,,right_only,,,,
,,,North Bay Taxi Inc,,,,Company,,,,,,,Marin Catch-A-Ride,,right_only,,,,
,,,North Lake Tahoe Express,,,,,,,,,,,,,right_only,,,,
,,,North of River Recreation and Park District,,,,Independent Agency,Consolidated Transportation Services Agency,,,,,,North of River Recreation and Park District,,right_only,,,,
,,,North Valley Services,,,,,,,,,446,,,,right_only,,,,
,,,Northern Inyo Healthcare Foundation,,,,Non-Profit Organization,,,,,447,,CAREshuttle,,right_only,,,,
,,,Northrop Grumman,,,,Company,,,,,,,,Southern California Association of Governments,right_only,,,,
,,,Oakland International Airport,,OAK,,,,,,,229,,,,right_only,,,,
,,,On Lok,,,,Non-Profit Organization,,,,,,,On Lok Senior Health Services,,right_only,,,,
,,,Ontario International Airport,,ONT,,,,,,,233,,,,right_only,,,,
,,,Open Transit Software Foundation,,,,Non-Profit Organization,,,,,,,,,right_only,,,,
,,,Optibus,,,,Company,,,,,,,,,right_only,,,,
,,,Oracle Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Orange Belt Stages,,,,,,,,,234,,,,right_only,,,,
,,,Orange Cab Inc,,,,Company,,,,,,,MST Taxi Vouchers,,right_only,,,,
,,,Orange County,,,,County,,,,,,,,,right_only,,,,
,,,OUTREACH,,,,Non-Profit Organization,,,,,448,,OUTREACH Senior and Disabled Transportation and Resources,,right_only,,,,
,,,Pace Solano,,,,Non-Profit Organization,,,,,,,Pace Solano,,right_only,,,,
,,,Padam Mobility,,,,Company,,,,,,,,,right_only,,,,
,,,Paramount Transportation,,,,,,,,,241,,,,right_only,,,,
,,,Paratransit Services Inc,,,,,,,,,,,"Glenn Ride,Glenn Dial-A-Ride",,right_only,,,,
,,,Parking Company of America,,,,Company,,,,,,,Lynwood Breeze,,right_only,,,,
,,,Partners in Caring,,,,,,,,,,,,,right_only,,,,
,,,Passio Technologies,,,,,,,,,,,,,right_only,,,,
,,,Peninsula Jewish Community Center,,,,Non-Profit Organization,,,,,450,,Get Up & Go,,right_only,,,,
,,,Peninsula Volunteers Inc,,,,Non-Profit Organization,,,,,,,,,right_only,,,,
,,,People Services,,,,,,,,,,,,,right_only,,,,
,,,Peppermint Ridge,,,,Non-Profit Organization,,,,,,,Peppermint Ridge,,right_only,,,,
,,,Philippines Airlines,,,,Company,,,,,236,,,San Diego Association of Governments,right_only,,,,
,,,Placer County Transportation Planning Agency,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Placer TART Paratransit,,,,,,,,,,,,,right_only,,,,
,,,PlanIt,,,,Company,,,,,,,,,right_only,,,,
,,,Playa Vista,,,,Company,,,,,252,,Playa Vista Shuttle,Southern California Association of Governments,right_only,,,,
,,,Plumas Transit Systems,,,,Independent Agency,,,,,254,232002,Plumas Transit Systems,,right_only,,,,
,,,Point Loma Nazarene University,,,,University - Private,,,,,,,,San Diego Association of Governments,right_only,,,,
,,,Port Hueneme,,,,,,,,,,,,,right_only,,,,
,,,Porterville Sheltered Workshop,,,,Non-Profit Organization,,,,,452,,Porterville Sheltered Workshop Transportation Services,,right_only,,,,
,,,Presidio Trust,,,,,,,,,257,,PresidiGo,Metropolitan Transportation Commission,right_only,,,,
,,,Pride Industries Inc,,,,Company,,,,,453,,Pride Industries Transportation,,right_only,,,,
,,,Prime Time Shuttle,,,,Company,,,,,,,Prime Time Airport Shuttle,,right_only,,,,
,,,Rapid Connection LLC,,,,Company,,,,,480,,,,right_only,,,,
,,,Reach Out Morongo Basin,,,,Non-Profit Organization,,,,,454,,Reach Out Morongo Basin,,right_only,,,,
,,,Redwood Coast Seniors,,,,Non-Profit Organization,,,,,456,,Redwood Coast Senior Rides,,right_only,,,,
,,,Regional Center for the East Bay,,,,Non-Profit Organization,,,,,,,Regional Center for the East Bay,,right_only,,,,
,,,Ride On,,,,Non-Profit Organization,,,,,465,,"Ride On Access Shuttle,Ride On Community Interaction Shuttle,Veteren's Express,Ride On Shuttle Services",,right_only,,,,
,,,Ride-Right LLC,,,,,,,,,,,,,right_only,,,,
,,,RideFact Brokerage,,,,,,,,,,,"RideFACT,San Marcos Catch a Ride!,Scripps Mercy Hospital,St Pauls PACE,West PACE",,right_only,,,,
,,,Rio Hondo College,,,,University - Public,,,,,,,Rio Hondo College TRAM,,right_only,,,,
,,,Riverside County,,,,County,,,,,,,,,right_only,,,,
,,,Riverside University Health System,,,,Non-Profit Organization,,,,,456,,Riverside University Health System Courtesy Van,,right_only,,,,
,,,Roadrunner Shuttle and Limousine Service,,,,Company,,,,,,,SBA Shuttle,,right_only,,,,
,,,RouteMatch,,,,Company,,,,,,,,,right_only,,,,
,,,RydeTrans,,,,Company,,,,,,,Berkeley Lab Shuttle Bus,,right_only,,,,
,,,Sacramento Area Council of Governments,,SACOG,,MPO/RTPA,,,,,0,,,,right_only,,,,
,,,Sacramento County,,,,County,,,,,81,,,Sacramento Area Council of Governments,right_only,,,,
,,,Sacramento International Airport,,SMF,,,,,,,272,,,,right_only,,,,
,,,Sacramento State University,,,,University - Public,,,,,,,"Hornet Shuttle,Herky Streetcar",,right_only,,,,
,,,Sal's Taxi Inc,,,,Company,,,,,,,MST Taxi Vouchers,,right_only,,,,
,,,Salinas Yellow Cab Inc,,,,Company,,,,,,,MST Taxi Vouchers,,right_only,,,,
,,,Sally's Fund,,,,Non-Profit Organization,,,,,,,Sally's Fund,,right_only,,,,
,,,San Benito County,,,,County,,,,,,,,,right_only,,,,
,,,San Benito County Local Transportation Authority,,,,Independent Agency,,,,,274,535001,"County Express On-Demand,County Express,County Express Dial-A Ride",Association of Monterey Bay Area Governments,right_only,,,,
,,,San Bernardino County,,,,County,,,,,,,,,right_only,,,,
,,,San Diego County,,,,County,,,,,,,,,right_only,,,,
,,,San Diego International Airport,,SAN,,Independent Agency,,,,,277,,"San Diego Flyer,SAN Trolley to Terminal Shuttle",,right_only,,,,
,,,San Diego State University,,,,University - Public,,,,,,,,San Diego Association of Governments,right_only,,,,
,,,San Diego Transit Corporation,,SDTC,,Independent Agency,,,,,278,,"MTS Bus,MTS Rapid,MTS Access",,right_only,,,,
,,,San Diego Trolley Inc,,SDTI,,Independent Agency,,,,,,,San Diego Trolley,,right_only,,,,
,,,San Francisco International Airport,,SFO,,Independent Agency,,,,,281,,SFO AirTrain,Metropolitan Transportation Commission,right_only,,,,
,,,San Gabriel Transit Inc,,,,Company,,,,,,,La Puente Dial-A-Ride,,right_only,,,,
,,,San Joaquin Council of Governments,,,,,"Metropolitan Planning Organization,Census Affiliate Data Center,Congestion Management Agency,Regional Transportation Planning Agency,Local Transportation Authority",,,,,,,,right_only,,,,
,,,San Joaquin County,,,,County,,,,,,,,,right_only,,,,
,,,San Joaquin Joint Powers Authority,,,,Independent Agency,,,,,,,,San Joaquin Council of Governments,right_only,,,,
,,,San Leandro Transportation Management Organization,,SLTMO,,,,,,,286,,San Leandro LINKS,Metropolitan Transportation Commission,right_only,,,,
,,,San Luis Obispo County,,,,County,,,,,,,,,right_only,,,,
,,,San Mateo County,,,,County,,,,,,,,,right_only,,,,
,,,Santa Barbara County,,,,County,,,,,,,,,right_only,,,,
,,,Santa Cruz County,,,,County,,,,,,,,,right_only,,,,
,,,Santa Cruz County Regional Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Santa Maria Organization of Transportation Helpers (SMOOTH) ,,,,,,,,,,,"Guadalupe Flyer,Guadalupe Shuttle,Santa Maria/Orcutt Senior Dial-A-Ride",,right_only,,,,
,,,Santiago Express Inc,,,,Company,,,,,479,,Santiago Express,,right_only,,,,
,,,SAP,,,,Company,,,,,,,,,right_only,,,,
,,,Saratoga Area Senior Coordinating Council,,,,Non-Profit Organization,,,,,457,,Reach Your Destination Easily,,right_only,,,,
,,,Satellite Affordable Housing Associates (SAHA),,,,Non-Profit Organization,,,,,,,SAHA,,right_only,,,,
,,,Scripps Mercy Hospital,,,,,,,,,,,,,right_only,,,,
,,,SDTJ Passport,,,,,,,,,474,,SDTJ Passport,,right_only,,,,
,,,Self-Help for the Elderly,,,,Non-Profit Organization,,,,,,,Self-Help for the Elderly,,right_only,,,,
,,,Seniors First,,,,Non-Profit Organization,,,,,,,"Health Express,Placer MyRides",,right_only,,,,
,,,Sequoia Village Inc,,,,,,,,,,,"Sequoia Village,Village of the Coastside",,right_only,,,,
,,,Services for Seniors,,,,,,,,,,,,,right_only,,,,
,,,Seton Hospital,,,,,,,,,,,Seton BART Shuttle,,right_only,,,,
,,,Shasta County Regional Transportation Planning Agency,,,,,Metropolitan Planning Organization,,,,,,,,right_only,,,,
,,,Shasta Regional Transit Agency,,,,,,,,,378,245001,,Shasta County Regional Transportation Planning Agency,right_only,,,,
,,,Shopify Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Shores of Hope,,,,Non-Profit Organization,,,,,458,,Shores of Hope Transportation Services,,right_only,,,,
,,,Siemens AG,,,,,,,,,,,,,right_only,,,,
,,,Sierra Management,,,,,,,,,,,,,right_only,,,,
,,,Sierra Point Owners Association,,,,,,,,,,,Sierra Point Shuttle,,right_only,,,,
,,,Signature Rail,,,,Company,,,,,,,,,right_only,,,,
,,,Silver Ride LLC,,,,Company,,,,,,,Center for Elders' Independence,,right_only,,,,
,,,Siskiyou County Local Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Skyline College,,,,University - Public,,,,,,,Skyline College Shuttle,,right_only,,,,
,,,SMA and Partners Ltd,,,,Company,,,,,,,,,right_only,,,,
,,,Solano Transportation Authority,,,,Independent Agency,,,,,,,Solano Mobility Local Taxi Card Program,,right_only,,,,
,,,Solutions for Transit,,,,Company,,,,,,,,,right_only,,,,
,,,Sonoma County Airport Express,,,,,,,,,313,,Sonoma County Airport Express,Metropolitan Transportation Commission,right_only,,,,
,,,South Bay Yellow United Checker Cab Co-op,,,,,,,,,,,"Torrance Senior Taxi,Torrance Dial-A-Taxi",,right_only,,,,
,,,South Side Community Connections,,,,Non-Profit Organization,,,,,459,,"Wheels and Village Express,SCC Wheels",,right_only,,,,
,,,South Tahoe Airporter,,,,,,,,,,,"South Tahoe Airporter,Susanville Indian Rancheria Public Transportation Program",,right_only,,,,
,,,Southern California Association of Governments,,,,Joint Powers Agency,"Metropolitan Planning Organization,Regional Transportation Planning Agency",,,,,,,,right_only,,,,
,,,Southland Transit Inc,,,,,,,,,,,,,right_only,,,,
,,,Spirit Bus,,,,,,,,,,,,,right_only,,,,
,,,Sprint,,,,Company,,,,,,,,,right_only,,,,
,,,Square Inc,,,,Company,,,,,,,,,right_only,,,,
,,,St Mary Medical Center,,,,,,,,,,,St Mary Medical Center Van Service,,right_only,,,,
,,,St Pauls Senior Services,,,,,,,,,,,,,right_only,,,,
,,,St Madeleine Sophie's Center,,,,Non-Profit Organization,,,,,460,,Hop on the Bus,,right_only,,,,
,,,Stanford Health Care,,,,,,,,,,,Stanford Medicine Shuttles,,right_only,,,,
,,,Stanford University,,,,University - Private,,,,,324,,Marguerite Shuttle,Metropolitan Transportation Commission,right_only,,,,
,,,Stanislaus Council of Governments,,,,,"Regional Transportation Planning Agency,Metropolitan Planning Organization,Local Transportation Authority",,,,,,,,right_only,,,,
,,,Stanislaus County,,,,County,,,,,,,,,right_only,,,,
,,,SteppingStone,North and South of Market Adult Day Health,,,Non-Profit Organization,,,,,,,SteppingStone,Metropolitan Transportation Commission,right_only,,,,
,,,Storer Transit Systems Inc,,,,Company,,,,,,,"South County Transit Link,South County Transit Dial-A-Ride,StaRT ADA Paratransit ",,right_only,,,,
,,,SunriseSESA,,,,Company,,,,,,,,,right_only,,,,
,,,Sutter Health,,,,,,,,,,,,,right_only,,,,
,,,Swiftly Inc,,,,Company,,,,,,,,,right_only,,,,
,,,SYSTEMTECHNIK,,,,Company,,,,,,,,,right_only,,,,
,,,Tahoe Regional Planning Agency,,,,,"Regional Transportation Planning Agency,Metropolitan Planning Organization",,,,,,,,right_only,,,,
,,,Tahoe Transportation District,,,,Independent Agency,,,,,331,309004,"Tahoe Truckee Area Regional Transportation,Tahoe Transportation Paratransit",Tahoe Regional Planning Agency,right_only,,,,
,,,Tehama County Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,The Arc of Amador and Calaveras,,,,Non-Profit Organization,,,,,461,,The Arc of Amador and Calaveras,,right_only,,,,
,,,The Master Scheduler,,,,Company,,,,,,,,,right_only,,,,
,,,The Respite Inn,,,,Non-Profit Organization,,,,,,,The Respite Inn,,right_only,,,,
,,,There or not ,,,,,,,,,,,,,right_only,,,,
,,,Tideline,,,,,,,,,338,,Tideline Water Taxi,Metropolitan Transportation Commission,right_only,,,,
,,,Token Transit,,,,Company,,,,,,,,,right_only,,,,
,,,Torrance Memorial Hospital,,,,,,,,,,,Torrance Memorial Van Service,,right_only,,,,
,,,TouchNet,,,,Company,,,,,,,,,right_only,,,,
,,,Town of Mammoth Lakes,,,,City/Town,,,,,,,,,right_only,,,,
,,,Town of Paradise,,,,City/Town,,,,,,,,,right_only,,,,
,,,TransDev,,,,,,,,,,,"East Bay Paratransit,Marin Access Paratransit",,right_only,,,,
,,,Transit App Inc,,,,Company,,,,,,,,,right_only,,,,
,,,TransLoc,,,,,,,,,,,Auburn On Demand,,right_only,,,,
,,,Transnnovation Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Transportation Agency for Monterey County,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Transportation Concepts Inc,,,,Company,,,,,,,"Avalon Dial-A-Ride,Avalon Community Transit,Avalon Access",,right_only,,,,
,,,TransTrack Solutions Group,,,,Company,,,,,,,,,right_only,,,,
,,,Trapeze Group,,,,Company,,,,,,,,,right_only,,,,
,,,Trillium Inc,,,,Company,,,,,,,,,right_only,,,,
,,,Trinity County Transportation Commission,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,TripShot Inc,,,,,,,,,,,,,right_only,,,,
,,,Tufesa,,,,Company,,,,,477,,Tufesa,,right_only,,,,
,,,Tulare County,,,,County,,,,,,,,,right_only,,,,
,,,Tulare County Association of Governments,,,,Joint Powers Agency,"Metropolitan Planning Organization,Regional Transportation Planning Agency",,,,,,,,right_only,,,,
,,,Tulare County Regional Transit Agency,,,,Independent Agency,,,,,345,654004,"Tulare Intermodal Express,Tulare County Regional Transit Agency",Tulare County Association of Governments,right_only,,,,
,,,Tuolumne County Transportation Council,,,,,Regional Transportation Planning Agency,,,,,,,,right_only,,,,
,,,Turning Point Community Programs,,,,Non-Profit Organization,,,,,462,,Community Activities and Rehabilitation Transportation,,right_only,,,,
,,,Uber Inc,RouteMatch,,,Company,,,,,,,"Marin Transit Connect,Go Tri-Valley",,right_only,,,,
,,,Ukiah Senior Center,,,,Non-Profit Organization,,,,,463,,Ukiah Senior Center Transportation,,right_only,,,,
,,,United Cerebral Palsy Association of Greater Sacramento,,,,Non-Profit Organization,,,,,464,,UCP Safe Trip,,right_only,,,,
,,,United Cerebral Palsy of San Luis Obispo County,,,,Non-Profit Organization,,,,,,,,,right_only,,,,
,,,United Checker Cab,,,,Company,,,,,,,Cityride Taxi,,right_only,,,,
,,,United Independent Taxi,,,,Company,,,,,,,Cityride Taxi,,right_only,,,,
,,,United Taxi of San Fernando Valley Inc,,,,Company,,,,,,,Cityride Taxi,,right_only,,,,
,,,University of California Berkeley,,,,University - Public,,,,,33,,"Bear Transit,The Loop",Metropolitan Transportation Commission,right_only,,,,
,,,University of California Irvine,,,,University - Public,,,,,,,"Anteater Express,UCI Medical Center Shuttle",,right_only,,,,
,,,University of California Los Angeles,,,,University - Public,,,,,,,,,right_only,,,,
,,,University of California Merced,,,,University - Public,,,,,,,CatTracks,,right_only,,,,
,,,University of California San Diego,,,,University - Public,,,,,352,,"Triton Transit Shuttles,Triton Transit Mobility,Triton Transit Dial-A-Ride Transit",San Diego Association of Governments,right_only,,,,
,,,University of California San Francisco,,,,University - Public,,,,,,,"UCSF Shuttles,Mission Bay Jitney",,right_only,,,,
,,,University of California Santa Cruz,,,,University - Public,,,,,,,"UCSC Campus Transit ,UCSC TAPS Disability Van Service",,right_only,,,,
,,,University of Southern California,,,,University - Public,,,,,353,,,Southern California Association of Governments,right_only,,,,
,,,Upland Manor,,,,Non-Profit Organization,,,,,466,,Upland Manor Community Van,,right_only,,,,
,,,USDA Forest Service Southwest Region,,,,,,,,,354,,,,right_only,,,,
,,,UTA,,,,Company,,,,,,,,,right_only,,,,
,,,Valley Achievement Center,,,,Non-Profit Organization,,,,,467,,Valley Achievement Center Transportation Services,,right_only,,,,
,,,VenTek,,,,Company,,,,,,,,,right_only,,,,
,,,Ventura Transit System Inc,,,,Company,,,,,,,"Malibu Dial-A-Ride,Smart Shuttle Airport Transportation",,right_only,,,,
