Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,Service Type (from Services),Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),route_id,Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category,Reference Static Feed
Coalinga Transit Inter-City – Fresno County Schedule,Coalinga Transit Inter-City,Fresno County Schedule,GTFS Schedule,primary,171,,fixed-route,Fresno County Rural Transit Agency,MV Transportation,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,1011,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
Huron Inter-City Transit – Fresno County Schedule,Huron Inter-City Transit,Fresno County Schedule,GTFS Schedule,primary,171,,fixed-route,Fresno County Rural Transit Agency,MV Transportation,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,1010,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
Orange Cove Transit – Fresno County Schedule,Orange Cove Transit,Fresno County Schedule,GTFS Schedule,primary,171,,on-demand,Fresno County Rural Transit Agency,MV Transportation,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,Needed - Existing GTFS,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,1015,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
Southeast Transit – Fresno County Schedule,Southeast Transit,Fresno County Schedule,GTFS Schedule,primary,171,,"on-demand,reservations",Fresno County Rural Transit Agency,MV Transportation,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,Needed - Existing GTFS,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,1012,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
Westside Transit – Fresno County Schedule,Westside Transit,Fresno County Schedule,GTFS Schedule,primary,171,,"on-demand,reservations",Fresno County Rural Transit Agency,MV Transportation,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,Needed - Existing GTFS,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,1014,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
Kingsburg-Reedley College Transit – Fresno County Schedule,Kingsburg-Reedley College Transit,Fresno County Schedule,GTFS Schedule,primary,171,,fixed-route,Fresno County Rural Transit Agency,MV Transportation,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,11052,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
SacRT Bus – Sacramento Schedule,SacRT Bus,Sacramento Schedule,GTFS Schedule,primary,SRTD,,fixed-route,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"We gave SacRT the fare data in October, and they agreed to publish it.",*,,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1 checked out of 1,Core,
Causeway Connection – Sacramento Schedule,Causeway Connection,Sacramento Schedule,GTFS Schedule,primary,SRTD,,fixed-route,Sacramento Regional Transit District,"Sacramento Regional Transit District,Yolo County Transportation District",Sacramento Regional Transit District,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"We gave SacRT the fare data in October, and they agreed to publish it.",138,,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1 checked out of 1,Core,
Rancho CordoVan – Sacramento Schedule,Rancho CordoVan,Sacramento Schedule,GTFS Schedule,primary,SRTD,,fixed-route,City of Rancho Cordova,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"We gave SacRT the fare data in October, and they agreed to publish it.","175,176,177",,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1 checked out of 1,Other Public Transit,
Elk Grove Transit Services – Sacramento Schedule,Elk Grove Transit Services,Sacramento Schedule,GTFS Schedule,primary,SRTD,,fixed-route,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"We gave SacRT the fare data in October, and they agreed to publish it.","E111,E112,E113",,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1 checked out of 1,Core,
Arcata and Mad River Transit System – Humboldt Schedule,Arcata and Mad River Transit System,Humboldt Schedule,GTFS Schedule,primary,3,,fixed-route,City of Arcata,City of Arcata,"Humboldt Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1 checked out of 1,Core,
Blue Lake Rancheria – Humboldt Schedule,Blue Lake Rancheria,Humboldt Schedule,GTFS Schedule,primary,972,,fixed-route,Blue Lake Rancheria,Blue Lake Rancheria,"Humboldt Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1 checked out of 1,Core,
Camarillo Trolly – Camarillo Schedule,Camarillo Trolly,Camarillo Schedule,GTFS Schedule,primary,,,fixed-route,City of Camarillo,City of Camarillo,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,,,Ask VCTC to own,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,16743,,http://data.trilliumtransit.com/gtfs/camarillo-ca-us/camarillo-ca-us.zip,1 checked out of 1,Core,
Big Blue Bus – Big Blue Bus Schedule,Big Blue Bus,Big Blue Bus Schedule,GTFS Schedule,primary,,,fixed-route,City of Santa Monica,City of Santa Monica,City of Santa Monica,City of Santa Monica,GTFS Schedule,NA,,,,,,we delivered the spec and draft data to their IT team who will own publishing/maintenance,,,http://gtfs.bigbluebus.com/current.zip,1 checked out of 1,Core,
Bellflower Bus – Bellflower Bus Schedule,Bellflower Bus,Bellflower Bus Schedule,GTFS Schedule,primary,,,fixed-route,City of Bellflower,City of Bellflower,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/bellflower-ca-us/bellflower-ca-us.zip,1 checked out of 1,Core,
Bell Gardens Trolly – Bell Gardens Schedule,Bell Gardens Trolly,Bell Gardens Schedule,GTFS Schedule,primary,,,fixed-route,City of Bell Gardens,City of Bell Gardens,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/bellgardens-ca-us/bellgardens-ca-us.zip,1 checked out of 1,Core,
Beaumont Pass Transit – Beaumont Pass Schedule,Beaumont Pass Transit,Beaumont Pass Schedule,GTFS Schedule,primary,,,fixed-route,City of Beaumont,City of Beaumont,"City of Beaumont,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,,,,http://data.trilliumtransit.com/gtfs/beaumont-ca-us/beaumont-ca-us.zip,1 checked out of 1,Other Public Transit,
Bear Transit – Bear Schedule,Bear Transit,Bear Schedule,GTFS Schedule,primary,,,fixed-route,"""University of California, Berkeley""","""University of California, Berkeley""","""University of California, Berkeley""",Trillium Inc.,GTFS Schedule,NA,,,,"GTFS Schedule Creation,GTFS Into Google,GTFS Schedule Handoff",Train transit provider to own,,,,https://data.trilliumtransit.com/gtfs/beartransit-ca-us/beartransit-ca-us.zip,1 checked out of 1,Other Public Transit,
Beach Cities Transit – Beach Cities Schedule,Beach Cities Transit,Beach Cities Schedule,GTFS Schedule,primary,,,fixed-route,City of Redondo Beach,City of Redondo Beach,City of Redondo Beach,City of Redondo Beach,GTFS Schedule,NA,Blocked - Vendor,,,,,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,,,https://www.redondo.org/civicax/filebank/blobdload.aspx?BlobID=33555,1 checked out of 1,Core,
Banning Pass Transit – Banning Pass Schedule,Banning Pass Transit,Banning Pass Schedule,GTFS Schedule,primary,,,fixed-route,Banning Pass Transit,Banning Pass Transit,"Banning Pass Transit,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,,,,http://data.trilliumtransit.com/gtfs/banning-ca-us/banning-ca-us.zip,1 checked out of 1,Other Public Transit,
Baldwin Park Transit – Baldwin Park Schedule,Baldwin Park Transit,Baldwin Park Schedule,GTFS Schedule,primary,,,fixed-route,City of Baldwin Park,City of Baldwin Park,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/baldwinpark-ca-us/baldwinpark-ca-us.zip,1 checked out of 1,Core,
B-Line – B-Line Schedule,B-Line,B-Line Schedule,GTFS Schedule,primary,,,fixed-route,Butte County Association of Governments,Butte County Association of Governments,,,GTFS Schedule,NA,,,,,,"This group is part of the I-5 corridor calls that Lauren runs, and Lauren will introduce the concept via email.",,,http://www.blinetransit.com/documents/Google%20Transit/google_transit.zip,1 checked out of 1,Core,
Avalon Community Transit – Avalon Schedule,Avalon Community Transit,Avalon Schedule,GTFS Schedule,primary,,,fixed-route,City of Avalon,Transportation Concepts Inc.,"City of Avalon,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/avalon-ca-us/avalon-ca-us.zip,1 checked out of 1,Core,
Auburn Transit – Auburn Schedule,Auburn Transit,Auburn Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route",City of Auburn,City of Auburn,"City of Auburn,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Existing GTFS,,,,Published by Trillium,,,https://data.trilliumtransit.com/gtfs/auburntransit-ca-us/auburntransit-ca-us.zip,1 checked out of 1,Core,
Arvin Transit – Arvin Schedule,Arvin Transit,Arvin Schedule,GTFS Schedule,primary,,,fixed-route,City of Arvin,City of Arvin,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,Previously was interested but has withdrawn from Google integration process,GTFS Schedule Creation,"Ask Kern to own,Get into google",,,,https://data.trilliumtransit.com/gtfs/arvin-ca-us/arvin-ca-us.zip,1 checked out of 1,Core,
Arcadia Transit – Arcadia Schedule,Arcadia Transit,Arcadia Schedule,GTFS Schedule,primary,,,fixed-route,City of Arcadia,City of Arcadia,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/arcadia-ca-us/arcadia-ca-us.zip,1 checked out of 1,Core,
Anaheim Resort Transportation – Anaheim Resort Schedule,Anaheim Resort Transportation,Anaheim Resort Schedule,GTFS Schedule,primary,,,fixed-route,Anaheim Transportation Network,Anaheim Transportation Network,"Anaheim Transportation Network,TripShot Inc.",TripShot Inc.,GTFS Schedule,NA,Blocked - Vendor,,,,,"Optibus offered to make an intro, after a pilot with LADOT",,,https://art.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820,1 checked out of 1,Core,
Amador Transit – Amador Schedule,Amador Transit,Amador Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route,ADA paratransit",Amador Regional Transit System,Amador Regional Transit System,"Amador Regional Transit System,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/amador-ca-us/amador-ca-us.zip,1 checked out of 1,Core,
Alhambra Community Transit – Alhambra Schedule,Alhambra Community Transit,Alhambra Schedule,GTFS Schedule,primary,,,fixed-route,City of Alhambra,City of Alhambra,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/alhambra-ca-us/alhambra-ca-us.zip,1 checked out of 1,Core,
Blossom Express – Blossom Express Schedule,Blossom Express,Blossom Express Schedule,GTFS Schedule,primary,,,"deviated fixed-route,reservations,ADA paratransit",City of Ripon,City of Ripon,"City of Ripon,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,,Trillium - To code,,,,,,,https://data.trilliumtransit.com/gtfs/blossomexpress-ca-us/blossomexpress-ca-us.zip,1 checked out of 1,Other Public Transit,
Antelope Valley Transportation Authority – Antelope Valley Transit Authority Schedule,Antelope Valley Transportation Authority,Antelope Valley Transit Authority Schedule,GTFS Schedule,primary,,,fixed-route,Antelope Valley Transit Authority,Antelope Valley Transit Authority,Antelope Valley Transit Authority,Antelope Valley Transit Authority,GTFS Schedule,NA,,,,,,"Optibus offered to make an intro, after a pilot with LADOT. AVTA reached out (with SCAG's help, via Gillian), and inquried about participating in a demo. Ruth connected them to Ted.",,,https://www.avta.com/userfiles/files/AVTA%20GTFS.zip,1 checked out of 1,Core,
Burbank Bus – Burbank Schedule,Burbank Bus,Burbank Schedule,GTFS Schedule,primary,,,fixed-route,City of Burbank,City of Burbank,City of Burbank,,GTFS Schedule,NA,,,,,,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,,,https://rideburbankbus.com/gtfs,1 checked out of 1,Core,
City of Lompoc Transit – Lompoc Schedule,City of Lompoc Transit,Lompoc Schedule,GTFS Schedule,primary,,,fixed-route,City of Lompoc,City of Lompoc,City of Lompoc,City of Lompoc,GTFS Schedule,NA,,,,,,Ruth emailed r_fernbaugh@ci.lompoc.ca.us,,,https://www.cityoflompoc.com/home/showdocument?id=29896,1 checked out of 1,Core,
Calaveras Connect – Calaveras Schedule,Calaveras Connect,Calaveras Schedule,GTFS Schedule,primary,,,deviated fixed-route,Calaveras County,Calaveras County,"Calaveras County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/calaveras-ca-us/calaveras-ca-us.zip,1 checked out of 1,Core,
Calabasas Trolley – Calabasas Schedule,Calabasas Trolley,Calabasas Schedule,GTFS Schedule,primary,,,fixed-route,City of Calabasas,City of Calabasas,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,CalabasasTrolley,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/calabasas-ca-us/calabasas-ca-us.zip,0 checked out of 1,Core,
MTS Bus – San Diego Schedule,MTS Bus,San Diego Schedule,GTFS Schedule,primary,,,fixed-route,San Diego Metropolitan Transit System,San Diego Transit Corporation,San Diego Metropolitan Transit System,,GTFS Schedule,NA,Unknown,,,,,,*,,https://www.sdmts.com/google_transit_files/google_transit.zip,1 checked out of 1,Core,
Coronado Ferry – San Diego Schedule,Coronado Ferry,San Diego Schedule,GTFS Schedule,primary,MTS,,fixed-route,Flagship Cruises and Events Inc.,Flagship Cruises and Events Inc.,San Diego Metropolitan Transit System,,GTFS Schedule,NA,Unknown,,,,,,COR,,https://www.sdmts.com/google_transit_files/google_transit.zip,1 checked out of 1,Other Transit,
San Diego Flyer – San Diego Schedule,San Diego Flyer,San Diego Schedule,GTFS Schedule,primary,SAN,,fixed-route,San Diego International Airport,San Diego International Airport,San Diego Metropolitan Transit System,,GTFS Schedule,NA,Unknown,,,,,,AIR,,https://www.sdmts.com/google_transit_files/google_transit.zip,1 checked out of 1,Other Public Transit,
West Berkeley Shuttle – West Berkeley Schedule,West Berkeley Shuttle,West Berkeley Schedule,GTFS Schedule,primary,,,fixed-route,West Berkeley Transportation Management Agency,West Berkeley Transportation Management Agency,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,,,,,,,http://data.trilliumtransit.com/gtfs/westberkeleyshuttle-ca-us/westberkeleyshuttle-ca-us.zip,1 checked out of 1,Other Public Transit,
West Marin Stagecoach – Bay Area 511 Schedule,West Marin Stagecoach,Bay Area 511 Schedule,GTFS Schedule,primary,,,"deviated fixed-route,ADA paratransit",Marin County Transit District,Marin County Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,,Needed - Existing GTFS,,,,MTC,"MA:68,MA:61M,MA:61",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Turlock Transit – Turlock Schedule,Turlock Transit,Turlock Schedule,GTFS Schedule,primary,,,fixed-route,City of Turlock,City of Turlock,Trillium Inc.,Trillium Inc.,GTFS Schedule,,,,,,,,,,http://data.trilliumtransit.com/gtfs/turlock-ca-us/turlock-ca-us.zip,1 checked out of 1,Core,
Tulare Intermodal Express – TCRTA Schedule,Tulare Intermodal Express,TCRTA Schedule,GTFS Schedule,primary,,,fixed-route,Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,"Tulare County Regional Transit Agency,Tulare County Association of Governments",GTFS Schedule,,,,,,,,"T1,T2,T3,T4,T5,T7,T11",,https://tularecog.org/tcag/data-gis-modeling/gtfs-data/tulare-county-regional-transit-agency-tcrta-gtfs,1 checked out of 1,Core,
SunLine School Tripper – SunLine Schedule,SunLine School Tripper,SunLine Schedule,GTFS Schedule,primary,,,fixed-route,SunLine Transit Agency,SunLine Transit Agency,SunLine Transit Agency,,GTFS Schedule,NA,Unknown,,,,,Olivia to bring up in Data Assessment call.,"1774,1777,1778,1779,1781,1785,1786,1788,1789,1790,1791",,https://www.sunline.org/transit/google_transit.zip,1 checked out of 1,Core,
SunLine 10 Commuter Link – SunLine Schedule,SunLine 10 Commuter Link,SunLine Schedule,GTFS Schedule,primary,,,fixed-route,SunLine Transit Agency,SunLine Transit Agency,SunLine Transit Agency,,GTFS Schedule,NA,Unknown,,,,,Olivia to bring up in Data Assessment call.,1771,,https://www.sunline.org/transit/google_transit.zip,1 checked out of 1,Core,
Paso Express – SLORTA Schedule,Paso Express,SLORTA Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route,reservations",San Luis Obispo Regional Transit Authority ,San Luis Obispo Regional Transit Authority ,"San Luis Obispo Regional Transit Authority ,Connexionz Inc.",Connexionz Inc.,GTFS Schedule,NA,Provider published,Needed - Existing GTFS,,,,Asked for data from DRMT,"A,B",,http://slo.connexionz.net/rtt/public/resource/gtfs.zip,1 checked out of 1,Core,
South County Area Transit – SLORTA Schedule,South County Area Transit,SLORTA Schedule,GTFS Schedule,primary,,,fixed-route,San Luis Obispo Regional Transit Authority ,San Luis Obispo Regional Transit Authority ,"San Luis Obispo Regional Transit Authority ,Connexionz Inc.",Connexionz Inc.,GTFS Schedule,NA,Provider published,,,,,Asked for data from DRMT,"21,24,27,28",,http://slo.connexionz.net/rtt/public/resource/gtfs.zip,1 checked out of 1,Core,
Altamont Corridor Express – Bay Area 511 Schedule,Altamont Corridor Express,Bay Area 511 Schedule,GTFS Schedule,primary,CE,,fixed-route,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
American Canyon Transit – Bay Area 511 Schedule,American Canyon Transit,Bay Area 511 Schedule,GTFS Schedule,primary,VN,,"deviated fixed-route,on-demand",Napa Valley Transportation Authority,Napa Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,,Trillium - To code,,,,MTC,VN:American Canyon Transit,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Capitol Corridor – Bay Area 511 Schedule,Capitol Corridor,Bay Area 511 Schedule,GTFS Schedule,primary,AM,,fixed-route,Capitol Corridor Joint Powers Authority,Capitol Corridor Joint Powers Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Other Public Transit,
Carmel Valley Grapevine Express – Monterey Salinas Schedule,Carmel Valley Grapevine Express,Monterey Salinas Schedule,GTFS Schedule,primary,,,fixed-route,Monterey-Salinas Transit,Monterey-Salinas Transit,Monterey-Salinas Transit,,GTFS Schedule,NA,,,,,,"We gave them the data in October. They need help thinking through how to publish it, and confirm its accuracy.",024,,http://www.mst.org/google/google_transit.zip,1 checked out of 1,Core,
City Coach – Bay Area 511 Schedule,City Coach,Bay Area 511 Schedule,GTFS Schedule,primary,VC,,fixed-route,City of Vacaville,City of Vacaville,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
COLT Wine Country Express – Lompoc Schedule,COLT Wine Country Express,Lompoc Schedule,GTFS Schedule,primary,,,fixed-route,City of Lompoc,City of Lompoc,City of Lompoc,City of Lompoc,GTFS Schedule,NA,,,,,,Ruth emailed r_fernbaugh@ci.lompoc.ca.us,6,,https://www.cityoflompoc.com/home/showdocument?id=29896,1 checked out of 1,Core,
COLT Santa Barbara Shuttle – Lompoc Schedule,COLT Santa Barbara Shuttle,Lompoc Schedule,GTFS Schedule,primary,,,"fixed-route,reservations",City of Lompoc,City of Lompoc,City of Lompoc,City of Lompoc,GTFS Schedule,NA,,Needed - Existing GTFS,,,,Ruth emailed r_fernbaugh@ci.lompoc.ca.us,7,,https://www.cityoflompoc.com/home/showdocument?id=29896,1 checked out of 1,Core,
Amtrak San Joaquins – Amtrak Schedule,Amtrak San Joaquins,Amtrak Schedule,GTFS Schedule,primary,,,fixed-route,San Joaquin Joint Powers Authority,Amtrak,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,Unknown,,,,,,26025,,https://content.amtrak.com/content/gtfs/GTFS.zip,1 checked out of 1,Core,
Coast Starlight – Amtrak Schedule,Coast Starlight,Amtrak Schedule,GTFS Schedule,primary,,,fixed-route,Amtrak,Amtrak,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,Unknown,,,,,,36924,,https://content.amtrak.com/content/gtfs/GTFS.zip,1 checked out of 1,Other Public Transit,
Thruway – Amtrak Schedule,Thruway,Amtrak Schedule,GTFS Schedule,primary,174,,fixed-route,Amtrak,,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,Unknown,,,,,,26025,,https://content.amtrak.com/content/gtfs/GTFS.zip,0 checked out of 1,Other Public Transit,
Acton and Agua Dulce Shuttle – LADPW Schedule,Acton and Agua Dulce Shuttle,LADPW Schedule,GTFS Schedule,primary,,Acton,"deviated fixed-route,on-demand",Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,,Needed - Existing GTFS,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
Avocado Heights/Bassett/West Valinda Shuttle – LADPW Schedule,Avocado Heights/Bassett/West Valinda Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,,,,,,Published by Trillium,13050,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
Dinuba Connection – TCRTA Schedule,Dinuba Connection,TCRTA Schedule,GTFS Schedule,primary,,,fixed-route,Tulare County Regional Transit Agency,MV Transportation,Tulare County Regional Transit Agency,"Tulare County Regional Transit Agency,Tulare County Association of Governments",GTFS Schedule,,,,,,,,"DCW,DCS",,https://tularecog.org/tcag/data-gis-modeling/gtfs-data/tulare-county-regional-transit-agency-tcrta-gtfs,1 checked out of 1,Core,
Tuolumne County Transit – Tuolumne Schedule,Tuolumne County Transit,Tuolumne Schedule,GTFS Schedule,primary,,,"deviated fixed-route,reservations",Tuolumne County Transit Agency,Tuolumne County Transit Agency,Tuolumne County Transit Agency,California Integrated Travel Project,GTFS Schedule,,,Published - Needs Flex Additions,,,,,,,https://storage.googleapis.com/gtfs-data/schedule-assets/tcta-2021-12-10.zip,1 checked out of 1,Core,
La Puente Link – La Puente Schedule,La Puente Link,La Puente Schedule,GTFS Schedule,primary,,,fixed-route,City of La Puente,City of La Puente,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,,,,,,,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/lapuente-ca-us/lapuente-ca-us.zip,1 checked out of 1,Other Public Transit,
El Segundo Beach Shuttle – El Segundo Schedule,El Segundo Beach Shuttle,El Segundo Schedule,GTFS Schedule,primary,,,"fixed-route,seasonal",City of El Segundo,City of El Segundo,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,,,,,,,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/elsegundo-ca-us/elsegundo-ca-us.zip,1 checked out of 1,Other Public Transit,
El Segundo Lunchtime Shuttle – El Segundo Schedule,El Segundo Lunchtime Shuttle,El Segundo Schedule,GTFS Schedule,primary,,,fixed-route,City of El Segundo,City of El Segundo,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,,,,,,,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/elsegundo-ca-us/elsegundo-ca-us.zip,1 checked out of 1,Other Public Transit,
Sacramento Airport Express – Sacramento Schedule,Sacramento Airport Express,Sacramento Schedule,GTFS Schedule,primary,SRTD,,fixed-route,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"We gave SacRT the fare data in October, and they agreed to publish it.",142,,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1 checked out of 1,Core,
Placer Commuter Express – Placer Schedule,Placer Commuter Express,Placer Schedule,GTFS Schedule,primary,,,fixed-route,Placer County,Placer County,"Placer County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,11117,,http://data.trilliumtransit.com/gtfs/placercounty-ca-us/placercounty-ca-us.zip,1 checked out of 1,Core,
